state,county,med_prop_tax_paid,med_housing_value,prop_tax_rate
Arkansas,Faulkner County,1253,232700.0,0.53
Arkansas,Franklin County,645,130800.0,0.54
Arkansas,Fulton County,533,113800.0,0.45
Arkansas,Garland County,933,194300.0,0.48
Arkansas,Grant County,880,161700.0,0.52
Arkansas,Greene County,819,169300.0,0.46
Arkansas,Hempstead County,601,105700.0,0.48
Arkansas,Hot Spring County,724,151100.0,0.58
Arkansas,Howard County,639,153900.0,0.46
Arkansas,Independence County,750,142600.0,0.51
Arkansas,Izard County,731,129100.0,0.51
Arkansas,Jackson County,559,98300.0,0.5
Arkansas,Jefferson County,745,113400.0,0.63
Arkansas,Johnson County,709,135300.0,0.51
Arkansas,Lafayette County,494,81000.0,0.39
Arkansas,Lawrence County,461,98900.0,0.32
Arkansas,Lee County,349,75300.0,0.24
Arkansas,Lincoln County,566,108000.0,0.52
Arkansas,Little River County,566,113500.0,0.47
Arkansas,Logan County,716,139900.0,0.48
Arkansas,Lonoke County,1211,193600.0,0.57
Arkansas,Madison County,736,178100.0,0.32
Arkansas,Marion County,775,163300.0,0.49
Arkansas,Miller County,934,153900.0,0.57
Arkansas,Mississippi County,635,122500.0,0.47
Arkansas,Monroe County,456,88700.0,0.14
Arkansas,Montgomery County,479,151900.0,0.32
Arkansas,Nevada County,434,83300.0,0.45
Arkansas,Newton County,649,169300.0,0.46
Arkansas,Ouachita County,525,102100.0,0.33
Arkansas,Perry County,634,130200.0,0.41
Arkansas,Phillips County,636,78200.0,0.76
Arkansas,Pike County,713,121600.0,0.6
Arkansas,Poinsett County,543,103000.0,0.53
Arkansas,Polk County,565,138400.0,0.35
Arkansas,Pope County,945,170100.0,0.52
Arkansas,Prairie County,696,96400.0,0.57
Arkansas,Pulaski County,1642,214700.0,0.75
Arkansas,Randolph County,527,130600.0,0.42
Arkansas,St. Francis County,425,90900.0,0.48
Arkansas,Saline County,1367,221200.0,0.59
Arkansas,Scott County,500,115000.0,0.37
Arkansas,Searcy County,468,110000.0,0.43
Arkansas,Sebastian County,1101,176200.0,0.62
Arkansas,Sevier County,514,117600.0,0.45
Arkansas,Sharp County,584,105100.0,0.5
Arkansas,Stone County,548,171600.0,0.35
Arkansas,Union County,685,120900.0,0.57
Arkansas,Van Buren County,581,135700.0,0.45
Arkansas,Washington County,1564,298400.0,0.55
Arkansas,White County,754,163600.0,0.47
Arkansas,Woodruff County,600,106500.0,0.48
Arkansas,Yell County,640,143600.0,0.38
California,Alameda County,8474,1090100.0,0.76
California,Alpine County,4530,590200.0,0.55
California,Amador County,3172,449800.0,0.7
California,Butte County,2951,424700.0,0.71
California,Calaveras County,3319,457200.0,0.71
California,Colusa County,2426,393400.0,0.67
California,Contra Costa County,7156,866800.0,0.78
California,Del Norte County,2099,342000.0,0.49
California,El Dorado County,4753,679900.0,0.72
California,Fresno County,2861,388800.0,0.76
California,Glenn County,2263,352400.0,0.61
California,Humboldt County,2858,446900.0,0.62
California,Imperial County,2394,309600.0,0.83
California,Inyo County,2576,348700.0,0.59
California,Kern County,2984,338300.0,0.89
California,Kings County,2425,324300.0,0.75
California,Lake County,2369,324300.0,0.72
California,Lassen County,1923,265300.0,0.8
California,Los Angeles County,5675,834200.0,0.67
California,Madera County,2756,393200.0,0.69
California,Marin County,"10,000+",1507300.0,0.77
California,Mariposa County,2377,387900.0,0.58
California,Mendocino County,3545,512200.0,0.67
California,Merced County,2634,391800.0,0.67
California,Modoc County,1561,224700.0,0.68
California,Mono County,4177,639400.0,0.7
California,Monterey County,4910,781000.0,0.63
California,Napa County,5995,869500.0,0.6
California,Nevada County,4694,621800.0,0.73
California,Orange County,6330,962600.0,0.64
California,Placer County,5812,688100.0,0.79
California,Plumas County,2537,360200.0,0.69
California,Riverside County,4348,557300.0,0.83
California,Sacramento County,3921,534200.0,0.76
California,San Benito County,6441,793400.0,0.79
California,San Bernardino County,3538,505000.0,0.73
California,San Diego County,5774,854700.0,0.67
California,San Francisco County,9862,1394500.0,0.72
California,San Joaquin County,3960,530700.0,0.79
California,San Luis Obispo County,5636,824700.0,0.64
California,San Mateo County,9519,1559600.0,0.63
California,Santa Barbara County,5103,790700.0,0.59
California,Santa Clara County,"10,000+",1490600.0,0.68
California,Santa Cruz County,6538,1027500.0,0.6
California,Shasta County,2542,366400.0,0.7
California,Sierra County,2279,331900.0,0.62
California,Siskiyou County,1973,309500.0,0.6
California,Solano County,4621,617700.0,0.78
California,Sonoma County,5695,815500.0,0.65
California,Stanislaus County,3216,450100.0,0.73
California,Sutter County,3268,433500.0,0.78
California,Tehama County,2118,339600.0,0.65
California,Trinity County,1888,325800.0,0.26
California,Tulare County,2318,330100.0,0.69
California,Tuolumne County,2864,433200.0,0.62
California,Ventura County,5574,822700.0,0.69
California,Yolo County,4749,620700.0,0.79
California,Yuba County,3071,412300.0,0.77
