state,county,med_prop_tax_paid,med_housing_value,prop_tax_rate
Illinois,Champaign County,4353,211500.0,2.04
Illinois,Christian County,1891,115500.0,1.49
Illinois,Clark County,2064,132400.0,1.39
Illinois,Clay County,1392,97400.0,1.22
Illinois,Clinton County,3524,192400.0,1.64
Illinois,Coles County,2474,127400.0,1.72
Illinois,Cook County,6191,324500.0,1.73
Illinois,Crawford County,1806,121100.0,1.36
Illinois,Cumberland County,2004,126000.0,1.26
Illinois,DeKalb County,5974,243600.0,2.24
Illinois,De Witt County,2322,130300.0,1.65
Illinois,Douglas County,2554,150400.0,1.64
Illinois,DuPage County,8007,391400.0,1.89
Illinois,Edgar County,1409,97300.0,1.33
Illinois,Edwards County,1451,100000.0,1.26
Illinois,Effingham County,2823,189500.0,1.37
Illinois,Fayette County,1894,130700.0,1.27
Illinois,Ford County,2587,122000.0,1.83
Illinois,Franklin County,1394,89000.0,1.18
Illinois,Fulton County,2289,107200.0,1.71
Illinois,Gallatin County,1305,82900.0,1.39
Illinois,Greene County,1661,95200.0,0.93
Illinois,Grundy County,5420,271700.0,1.86
Illinois,Hamilton County,1512,113700.0,1.22
Illinois,Hancock County,2059,113800.0,1.5
Illinois,Hardin County,1001,103800.0,0.83
Illinois,Henderson County,1651,104400.0,1.42
Illinois,Henry County,3016,151600.0,1.86
Illinois,Iroquois County,2504,137800.0,1.5
Illinois,Jackson County,2526,137300.0,1.84
Illinois,Jasper County,2448,125500.0,1.56
Illinois,Jefferson County,2148,126000.0,1.58
Illinois,Jersey County,3020,171900.0,1.58
Illinois,Jo Daviess County,3613,209900.0,1.49
Illinois,Johnson County,1992,160500.0,1.33
Illinois,Kane County,7382,327000.0,2.18
Illinois,Kankakee County,4266,192600.0,2.04
Illinois,Kendall County,7651,322400.0,2.28
Illinois,Knox County,2190,111900.0,1.81
Illinois,Lake County,8923,345700.0,2.26
Illinois,LaSalle County,3418,161900.0,1.9
Illinois,Lawrence County,1174,99100.0,0.9
Illinois,Lee County,3048,154600.0,1.77
Illinois,Livingston County,2908,142200.0,1.88
Illinois,Logan County,2385,134400.0,1.72
Illinois,McDonough County,2285,107500.0,1.82
Illinois,McHenry County,7274,308100.0,2.26
Illinois,McLean County,4524,208400.0,2.11
Illinois,Macon County,2696,127300.0,1.99
Illinois,Macoupin County,2073,138200.0,1.39
Illinois,Madison County,3319,173000.0,1.79
Illinois,Marion County,1759,103000.0,1.54
Illinois,Marshall County,2766,142800.0,1.7
Illinois,Mason County,2162,103400.0,1.8
Illinois,Massac County,1704,121900.0,1.3
Illinois,Menard County,3190,185500.0,1.66
Illinois,Mercer County,2878,146700.0,1.77
Illinois,Monroe County,4588,282100.0,1.46
Illinois,Montgomery County,1887,112300.0,1.32
Illinois,Morgan County,2306,130800.0,1.7
Illinois,Moultrie County,2414,134000.0,1.74
Illinois,Ogle County,3889,189200.0,1.81
Illinois,Peoria County,3552,158500.0,2.15
Illinois,Perry County,1807,112600.0,1.42
Illinois,Piatt County,3265,180600.0,1.66
Illinois,Pike County,1556,101400.0,1.42
Illinois,Pope County,1477,143800.0,0.99
Illinois,Pulaski County,869,85100.0,1.03
Illinois,Putnam County,2705,172700.0,1.46
Illinois,Randolph County,1927,135100.0,1.29
Illinois,Richland County,1769,112000.0,1.16
Illinois,Rock Island County,3425,150400.0,2.13
Illinois,St. Clair County,3665,180300.0,1.83
Illinois,Saline County,1597,94300.0,1.65
Illinois,Sangamon County,3512,176300.0,1.89
Illinois,Schuyler County,1950,109700.0,1.55
Illinois,Scott County,1446,96400.0,1.35
Illinois,Shelby County,2063,137100.0,1.34
Illinois,Stark County,1768,104500.0,1.62
Illinois,Stephenson County,3240,134900.0,2.09
Illinois,Tazewell County,3536,167500.0,1.98
Illinois,Union County,1712,131700.0,1.15
Illinois,Vermilion County,1757,97200.0,1.62
Illinois,Wabash County,1475,104900.0,1.3
Illinois,Warren County,1903,105000.0,1.28
Illinois,Washington County,2908,155700.0,1.58
Illinois,Wayne County,1653,110700.0,1.42
Illinois,White County,1444,108100.0,1.01
Illinois,Whiteside County,2598,127100.0,1.74
Illinois,Will County,7173,319600.0,2.1
Illinois,Williamson County,2690,156400.0,1.57
Illinois,Winnebago County,3930,164500.0,2.28
Illinois,Woodford County,4215,197600.0,1.9
Indiana,Adams County,1373,178400.0,0.7
Indiana,Allen County,1689,214900.0,0.77
Indiana,Bartholomew County,1738,232800.0,0.71
Indiana,Benton County,1165,151000.0,0.71
Indiana,Blackford County,873,107500.0,0.75
Indiana,Boone County,2919,376200.0,0.83
Indiana,Brown County,1177,269100.0,0.45
Indiana,Carroll County,1015,180900.0,0.57
Indiana,Cass County,910,133800.0,0.69
Indiana,Clark County,1716,222900.0,0.71
Indiana,Clay County,627,153000.0,0.48
Indiana,Clinton County,980,164100.0,0.64
Indiana,Crawford County,880,117700.0,0.63
Indiana,Daviess County,1351,197200.0,0.69
Indiana,Dearborn County,1789,243400.0,0.72
Indiana,Decatur County,1230,199100.0,0.57
Indiana,DeKalb County,1205,194100.0,0.61
Indiana,Delaware County,1039,139400.0,0.81
Indiana,Dubois County,1514,230100.0,0.71
Indiana,Elkhart County,1717,210400.0,0.82
Indiana,Fayette County,949,130700.0,0.62
Indiana,Floyd County,1736,251000.0,0.66
Indiana,Fountain County,849,143400.0,0.61
Indiana,Franklin County,1479,249500.0,0.55
Indiana,Fulton County,844,156500.0,0.59
Indiana,Gibson County,1301,180000.0,0.6
Indiana,Grant County,884,122300.0,0.67
Indiana,Greene County,896,153200.0,0.62
Indiana,Hamilton County,3549,405500.0,0.87
Indiana,Hancock County,1806,274800.0,0.68
Indiana,Harrison County,1224,229600.0,0.56
Indiana,Hendricks County,2482,307600.0,0.81
Indiana,Henry County,1124,154400.0,0.67
Indiana,Howard County,1189,165000.0,0.67
Indiana,Huntington County,1148,161600.0,0.68
Indiana,Jackson County,881,178300.0,0.53
Indiana,Jasper County,1029,221500.0,0.5
Indiana,Jay County,707,117500.0,0.6
Indiana,Jefferson County,1252,194600.0,0.64
Indiana,Jennings County,971,161500.0,0.61
Indiana,Johnson County,2024,284600.0,0.73
Indiana,Knox County,933,137700.0,0.74
Indiana,Kosciusko County,1303,216000.0,0.63
Indiana,LaGrange County,1403,255900.0,0.49
Indiana,Lake County,2112,230600.0,0.93
Indiana,LaPorte County,1503,195500.0,0.79
Indiana,Lawrence County,1049,175000.0,0.69
Indiana,Madison County,1192,161300.0,0.73
Indiana,Marion County,2028,224000.0,0.89
Indiana,Marshall County,1362,204900.0,0.67
Indiana,Martin County,865,159400.0,0.55
Indiana,Miami County,756,126200.0,0.48
Indiana,Monroe County,2036,285200.0,0.74
Indiana,Montgomery County,1116,171800.0,0.64
Indiana,Morgan County,1174,237600.0,0.51
Indiana,Newton County,1323,171500.0,0.79
Indiana,Noble County,1310,196800.0,0.66
Indiana,Ohio County,1305,213100.0,0.68
Indiana,Orange County,917,158700.0,0.73
Indiana,Owen County,1145,172400.0,0.64
Indiana,Parke County,735,151200.0,0.46
Indiana,Perry County,1106,163400.0,0.63
Indiana,Pike County,1206,154900.0,0.77
Indiana,Porter County,2326,281500.0,0.81
Indiana,Posey County,1384,222900.0,0.52
Indiana,Pulaski County,708,156400.0,0.56
Indiana,Putnam County,1042,218900.0,0.45
Indiana,Randolph County,900,113400.0,0.76
Indiana,Ripley County,1250,222500.0,0.58
Indiana,Rush County,1079,166800.0,0.6
Indiana,St. Joseph County,1665,192800.0,0.85
Indiana,Scott County,1025,158400.0,0.65
Indiana,Shelby County,1412,212400.0,0.67
Indiana,Spencer County,1147,185200.0,0.6
Indiana,Starke County,967,157700.0,0.65
Indiana,Steuben County,1242,216200.0,0.54
Indiana,Sullivan County,799,131100.0,0.62
Indiana,Switzerland County,793,175800.0,0.45
Indiana,Tippecanoe County,1474,239300.0,0.67
Indiana,Tipton County,1139,174600.0,0.63
Indiana,Union County,1116,173500.0,0.71
Indiana,Vanderburgh County,1474,184000.0,0.81
Indiana,Vermillion County,781,113100.0,0.79
Indiana,Vigo County,1313,148500.0,0.82
Indiana,Wabash County,813,157200.0,0.51
Indiana,Warren County,914,182500.0,0.55
Indiana,Warrick County,1631,242500.0,0.68
Indiana,Washington County,1091,172200.0,0.59
Indiana,Wayne County,1137,140200.0,0.77
Indiana,Wells County,1065,197600.0,0.49
Indiana,White County,953,175900.0,0.56
Indiana,Whitley County,1537,219400.0,0.72
Iowa,Adair County,2050,160400.0,1.15
Iowa,Adams County,1661,131600.0,0.95
Iowa,Allamakee County,2190,172300.0,0.94
Iowa,Appanoose County,1667,124200.0,1.15
Iowa,Audubon County,1634,121900.0,0.86
Iowa,Benton County,2727,208200.0,1.23
Iowa,Black Hawk County,2842,188900.0,1.33
Iowa,Boone County,2910,212400.0,1.29
Iowa,Bremer County,2824,219600.0,1.23
Iowa,Buchanan County,2390,176000.0,1.22
Iowa,Buena Vista County,1931,159500.0,1.36
Iowa,Butler County,2226,165400.0,1.25
Iowa,Calhoun County,1567,118800.0,1.11
Iowa,Carroll County,1916,176000.0,1.22
Iowa,Cass County,2019,150300.0,1.4
Iowa,Cedar County,2568,211300.0,1.08
Iowa,Cerro Gordo County,2410,166400.0,1.27
Iowa,Cherokee County,1569,158700.0,0.96
Iowa,Chickasaw County,1863,182600.0,1.0
Iowa,Clarke County,2578,161100.0,1.23
Iowa,Clay County,2050,178600.0,0.93
Iowa,Clayton County,2181,168500.0,0.98
Iowa,Clinton County,2461,160600.0,1.34
Iowa,Crawford County,1973,153700.0,1.28
Iowa,Dallas County,5001,355600.0,1.37
Iowa,Davis County,2269,161900.0,1.51
Iowa,Decatur County,1831,113900.0,1.33
Iowa,Delaware County,2382,177900.0,1.16
Iowa,Des Moines County,2058,136500.0,1.36
Iowa,Dickinson County,2503,270700.0,0.78
Iowa,Dubuque County,2919,237300.0,1.15
Iowa,Emmet County,1680,114100.0,1.18
Iowa,Fayette County,1782,136800.0,1.29
Iowa,Floyd County,1929,143500.0,1.15
Iowa,Franklin County,1633,124100.0,1.2
Iowa,Fremont County,1868,154400.0,1.01
Iowa,Greene County,1783,155400.0,1.23
Iowa,Grundy County,2273,198800.0,1.18
Iowa,Guthrie County,2199,180100.0,1.16
Iowa,Hamilton County,1977,156400.0,1.17
Iowa,Hancock County,1673,141400.0,1.18
Iowa,Hardin County,1683,122500.0,1.25
Iowa,Harrison County,2325,176000.0,1.19
Iowa,Henry County,2559,164300.0,1.43
Iowa,Howard County,1853,147800.0,1.17
Iowa,Humboldt County,2011,155800.0,1.34
Iowa,Ida County,1260,108900.0,0.95
Iowa,Iowa County,2629,193900.0,1.19
Iowa,Jackson County,2159,175000.0,0.94
Iowa,Jasper County,2633,186300.0,1.24
Iowa,Jefferson County,2311,163400.0,1.35
Iowa,Johnson County,4681,308600.0,1.4
Iowa,Jones County,2450,184800.0,1.16
Iowa,Keokuk County,1494,118700.0,1.13
Iowa,Kossuth County,1490,148300.0,1.06
Iowa,Lee County,1955,141400.0,1.28
Iowa,Linn County,3547,214300.0,1.47
Iowa,Louisa County,1751,150100.0,1.08
Iowa,Lucas County,1645,120200.0,1.0
Iowa,Lyon County,1995,230000.0,0.86
Iowa,Madison County,3624,245100.0,1.25
Iowa,Mahaska County,2077,157800.0,1.26
Iowa,Marion County,2848,233000.0,1.17
Iowa,Marshall County,2067,145500.0,1.29
Iowa,Mills County,3494,237800.0,1.13
Iowa,Mitchell County,1919,175100.0,0.99
Iowa,Monona County,1467,142900.0,1.06
Iowa,Monroe County,2149,156300.0,1.39
Iowa,Montgomery County,2007,121400.0,1.33
Iowa,Muscatine County,2732,182100.0,1.32
Iowa,O'Brien County,1701,173100.0,1.03
Iowa,Osceola County,1387,122600.0,0.95
Iowa,Page County,1764,125300.0,1.2
Iowa,Palo Alto County,1474,123200.0,1.06
Iowa,Plymouth County,2455,228900.0,0.99
Iowa,Pocahontas County,1111,98100.0,1.06
Iowa,Polk County,4396,262100.0,1.57
Iowa,Pottawattamie County,3067,195700.0,1.32
Iowa,Poweshiek County,2563,209300.0,1.11
Iowa,Ringgold County,2098,156200.0,1.15
Iowa,Sac County,1556,141400.0,0.93
Iowa,Scott County,3273,222000.0,1.44
Iowa,Shelby County,2094,164000.0,1.19
Iowa,Sioux County,2801,250100.0,1.08
Iowa,Story County,3632,258700.0,1.36
Iowa,Tama County,2043,148600.0,1.2
Iowa,Taylor County,1482,117200.0,1.14
Iowa,Union County,2197,122000.0,1.48
Iowa,Van Buren County,1355,114600.0,0.78
Iowa,Wapello County,1974,125100.0,1.37
Iowa,Warren County,3865,269600.0,1.39
Iowa,Washington County,2788,203900.0,1.2
Iowa,Wayne County,1509,111300.0,1.14
Iowa,Webster County,2138,153800.0,1.39
Iowa,Winnebago County,1781,135000.0,1.35
Iowa,Winneshiek County,2894,259200.0,0.99
Iowa,Woodbury County,2656,183200.0,1.39
Iowa,Worth County,1600,145800.0,0.91
Iowa,Wright County,1806,119600.0,1.28
Kansas,Allen County,1796,107600.0,1.3
Kansas,Anderson County,2353,171400.0,1.37
Kansas,Atchison County,1925,145700.0,1.31
Kansas,Barber County,1648,97000.0,1.36
Kansas,Barton County,2126,126400.0,1.57
Kansas,Bourbon County,1789,113800.0,1.35
Kansas,Brown County,1461,118100.0,1.06
Kansas,Butler County,3177,217600.0,1.47
Kansas,Chase County,1500,109700.0,1.26
Kansas,Chautauqua County,991,65500.0,1.0
Kansas,Cherokee County,1219,100100.0,1.06
Kansas,Cheyenne County,1636,125900.0,1.35
Kansas,Clark County,1699,87600.0,1.05
Kansas,Clay County,2055,155900.0,1.32
Kansas,Cloud County,1704,100000.0,1.5
Kansas,Coffey County,1717,157400.0,0.91
Kansas,Comanche County,1500,69600.0,1.93
Kansas,Cowley County,1999,120900.0,1.15
Kansas,Crawford County,1406,132600.0,1.06
Kansas,Decatur County,1604,89500.0,1.51
Kansas,Dickinson County,2154,146800.0,1.38
Kansas,Doniphan County,1445,135200.0,0.91
Kansas,Douglas County,3776,309400.0,1.19
Kansas,Edwards County,1120,70900.0,1.18
Kansas,Elk County,1388,68500.0,1.66
Kansas,Ellis County,2682,216300.0,1.12
Kansas,Ellsworth County,1693,114900.0,1.46
Kansas,Finney County,2900,201400.0,1.36
Kansas,Ford County,2300,151100.0,1.34
Kansas,Franklin County,2810,198700.0,1.31
Kansas,Geary County,2496,172700.0,1.47
Kansas,Gove County,1730,118400.0,1.27
Kansas,Graham County,1641,89900.0,1.47
Kansas,Grant County,1670,110300.0,1.21
Kansas,Gray County,3071,206000.0,1.35
Kansas,Greeley County,2178,115200.0,1.79
Kansas,Greenwood County,1348,88700.0,1.22
Kansas,Hamilton County,1729,115800.0,1.58
Kansas,Harper County,1495,83800.0,1.56
Kansas,Harvey County,2715,180300.0,1.4
Kansas,Haskell County,2396,165100.0,1.35
Kansas,Hodgeman County,1683,101600.0,1.35
Kansas,Jackson County,2363,207300.0,1.1
Kansas,Jefferson County,2733,216900.0,1.11
Kansas,Jewell County,1247,64600.0,1.21
Kansas,Johnson County,4447,391200.0,1.12
Kansas,Kearny County,2108,200900.0,1.14
Kansas,Kingman County,1935,111100.0,1.38
Kansas,Kiowa County,1720,155300.0,1.21
Kansas,Labette County,1559,94600.0,1.4
Kansas,Lane County,1680,127100.0,1.37
Kansas,Leavenworth County,3424,282900.0,1.03
Kansas,Lincoln County,1419,96900.0,1.54
Kansas,Linn County,2007,173600.0,1.0
Kansas,Logan County,1932,117900.0,1.69
Kansas,Lyon County,2341,150600.0,1.36
Kansas,McPherson County,2901,211200.0,1.33
Kansas,Marion County,2006,124200.0,1.45
Kansas,Marshall County,1574,127700.0,1.14
Kansas,Meade County,2005,148900.0,1.12
Kansas,Miami County,3643,287700.0,1.19
Kansas,Mitchell County,2217,133800.0,1.49
Kansas,Montgomery County,1754,101700.0,1.56
Kansas,Morris County,1898,129600.0,1.44
Kansas,Morton County,1995,96100.0,1.84
Kansas,Nemaha County,2080,217200.0,0.91
Kansas,Neosho County,1637,111300.0,1.41
Kansas,Ness County,1751,89700.0,1.55
Kansas,Norton County,1724,101500.0,1.1
Kansas,Osage County,2343,156800.0,1.32
Kansas,Osborne County,1465,86400.0,1.34
Kansas,Ottawa County,2760,166000.0,1.34
Kansas,Pawnee County,1887,93000.0,1.69
Kansas,Phillips County,1738,96500.0,1.19
Kansas,Pottawatomie County,2792,245900.0,1.0
Kansas,Pratt County,1993,114600.0,1.55
Kansas,Rawlins County,1620,103800.0,1.43
Kansas,Reno County,2158,132500.0,1.48
Kansas,Republic County,1350,75600.0,1.43
Kansas,Rice County,1593,104600.0,1.35
Kansas,Riley County,3466,237100.0,1.41
Kansas,Rooks County,1718,89000.0,1.54
Kansas,Rush County,1562,83600.0,1.33
Kansas,Russell County,2218,119000.0,1.56
Kansas,Saline County,2345,179600.0,1.34
Kansas,Scott County,2640,160000.0,1.57
Kansas,Sedgwick County,2461,203300.0,1.18
Kansas,Seward County,2284,136500.0,1.56
Kansas,Shawnee County,2705,180900.0,1.34
Kansas,Sheridan County,2490,167200.0,1.21
Kansas,Sherman County,2171,136700.0,1.45
Kansas,Smith County,1722,94100.0,1.71
Kansas,Stafford County,1550,97600.0,1.26
Kansas,Stanton County,1667,67800.0,1.91
Kansas,Stevens County,2433,129300.0,1.78
Kansas,Sumner County,2130,135100.0,1.36
Kansas,Thomas County,2440,172700.0,1.34
Kansas,Trego County,1753,120900.0,1.39
Kansas,Wabaunsee County,2276,177300.0,1.06
Kansas,Wallace County,1405,105000.0,1.38
Kansas,Washington County,1607,117100.0,0.9
Kansas,Wichita County,1728,99300.0,1.35
Kansas,Wilson County,1387,93500.0,1.27
Kansas,Woodson County,1569,81200.0,1.36
Kansas,Wyandotte County,2509,172300.0,1.39
Kentucky,Adair County,971,150800.0,0.56
Kentucky,Allen County,1046,192300.0,0.57
Kentucky,Anderson County,1697,225100.0,0.72
Kentucky,Ballard County,1065,145800.0,0.66
Kentucky,Barren County,1212,178000.0,0.59
Kentucky,Bath County,850,129800.0,0.56
Kentucky,Bell County,723,89000.0,0.57
Kentucky,Boone County,2372,277300.0,0.84
Kentucky,Bourbon County,1627,229300.0,0.57
Kentucky,Boyd County,1156,130700.0,0.79
Kentucky,Boyle County,1731,209900.0,0.76
Kentucky,Bracken County,1149,125000.0,0.73
Kentucky,Breathitt County,510,70300.0,0.66
Kentucky,Breckinridge County,916,156700.0,0.54
Kentucky,Bullitt County,2050,247200.0,0.84
Kentucky,Butler County,645,111100.0,0.5
Kentucky,Caldwell County,643,118500.0,0.52
Kentucky,Calloway County,1195,183200.0,0.61
Kentucky,Campbell County,2556,252000.0,1.06
Kentucky,Carlisle County,945,120400.0,0.51
Kentucky,Carroll County,1070,140900.0,0.62
Kentucky,Carter County,649,132800.0,0.45
Kentucky,Casey County,812,136300.0,0.54
Kentucky,Christian County,1126,173600.0,0.59
Kentucky,Clark County,1451,205800.0,0.75
Kentucky,Clay County,634,90700.0,0.49
Kentucky,Clinton County,637,122200.0,0.42
Kentucky,Crittenden County,731,127300.0,0.47
Kentucky,Cumberland County,760,141100.0,0.51
Kentucky,Daviess County,1675,199900.0,0.81
Kentucky,Edmonson County,881,160300.0,0.51
Kentucky,Elliott County,755,123500.0,0.5
Kentucky,Estill County,799,119500.0,0.63
Kentucky,Fayette County,2542,293500.0,0.84
Kentucky,Fleming County,866,134700.0,0.57
Kentucky,Floyd County,748,98700.0,0.67
Kentucky,Franklin County,1716,216600.0,0.73
Kentucky,Fulton County,634,79100.0,0.64
Kentucky,Gallatin County,1476,178200.0,0.71
Kentucky,Garrard County,1422,204900.0,0.59
Kentucky,Grant County,1432,209500.0,0.66
Kentucky,Graves County,970,147800.0,0.58
Kentucky,Grayson County,930,164600.0,0.5
Kentucky,Green County,817,125000.0,0.17
Kentucky,Greenup County,1171,134000.0,0.94
Kentucky,Hancock County,930,141200.0,0.66
Kentucky,Hardin County,1480,225800.0,0.63
Kentucky,Harlan County,732,73700.0,0.74
Kentucky,Harrison County,1328,202100.0,0.5
Kentucky,Hart County,965,146000.0,0.68
Kentucky,Henderson County,1548,171900.0,0.86
Kentucky,Henry County,1611,197900.0,0.73
Kentucky,Hickman County,779,115700.0,0.55
Kentucky,Hopkins County,1104,142800.0,0.73
Kentucky,Jackson County,687,111500.0,0.47
Kentucky,Jefferson County,2136,248400.0,0.85
Kentucky,Jessamine County,1960,268100.0,0.73
Kentucky,Johnson County,792,120200.0,0.57
Kentucky,Kenton County,2395,244400.0,0.96
Kentucky,Knott County,571,77000.0,0.51
Kentucky,Knox County,779,118700.0,0.54
Kentucky,Larue County,1104,183500.0,0.58
Kentucky,Laurel County,906,159500.0,0.49
Kentucky,Lawrence County,793,111700.0,0.61
Kentucky,Lee County,705,83900.0,0.76
Kentucky,Leslie County,563,69000.0,0.67
Kentucky,Letcher County,648,67400.0,0.67
Kentucky,Lewis County,617,96000.0,0.5
Kentucky,Lincoln County,1066,147300.0,0.64
Kentucky,Livingston County,770,125600.0,0.54
Kentucky,Logan County,1010,164900.0,0.65
Kentucky,Lyon County,1196,189500.0,0.57
Kentucky,McCracken County,1410,188100.0,0.79
Kentucky,McCreary County,554,85300.0,0.47
Kentucky,McLean County,954,148500.0,0.66
Kentucky,Madison County,1698,232000.0,0.71
Kentucky,Magoffin County,694,89000.0,0.4
Kentucky,Marion County,1157,168100.0,0.6
Kentucky,Marshall County,1252,173800.0,0.67
Kentucky,Martin County,716,86900.0,0.56
Kentucky,Mason County,1055,161500.0,0.64
Kentucky,Meade County,1408,207900.0,0.66
Kentucky,Menifee County,644,125800.0,0.45
Kentucky,Mercer County,1672,202300.0,0.72
Kentucky,Metcalfe County,743,110200.0,0.51
Kentucky,Monroe County,891,115900.0,0.56
Kentucky,Montgomery County,1265,172200.0,0.75
Kentucky,Morgan County,780,118200.0,0.54
Kentucky,Muhlenberg County,790,127400.0,0.59
Kentucky,Nelson County,1891,238000.0,0.74
Kentucky,Nicholas County,729,123000.0,0.51
Kentucky,Ohio County,753,121400.0,0.58
Kentucky,Oldham County,3519,393100.0,0.92
Kentucky,Owen County,1220,168700.0,0.64
Kentucky,Owsley County,570,80100.0,0.58
Kentucky,Pendleton County,1275,159800.0,0.65
Kentucky,Perry County,643,91800.0,0.6
Kentucky,Pike County,772,112000.0,0.64
Kentucky,Powell County,875,141100.0,0.5
Kentucky,Pulaski County,1057,166900.0,0.5
Kentucky,Robertson County,893,165100.0,0.39
Kentucky,Rockcastle County,596,123600.0,0.49
Kentucky,Rowan County,885,161800.0,0.56
Kentucky,Russell County,929,163200.0,0.5
Kentucky,Scott County,1908,288500.0,0.62
Kentucky,Shelby County,2339,304800.0,0.73
Kentucky,Simpson County,1371,229400.0,0.61
Kentucky,Spencer County,2188,330000.0,0.65
Kentucky,Taylor County,1202,174200.0,0.61
Kentucky,Todd County,909,166700.0,0.55
Kentucky,Trigg County,1162,207700.0,0.63
Kentucky,Trimble County,1139,172000.0,0.56
Kentucky,Union County,927,104500.0,0.8
Kentucky,Warren County,1668,258000.0,0.62
Kentucky,Washington County,1174,179200.0,0.58
Kentucky,Wayne County,758,135700.0,0.5
Kentucky,Webster County,993,112900.0,0.68
Kentucky,Whitley County,849,131800.0,0.57
Kentucky,Wolfe County,414,75800.0,0.37
Kentucky,Woodford County,2108,299700.0,0.67
Louisiana,Acadia Parish,483,155500.0,0.36
Louisiana,Allen Parish,267,104500.0,0.34
Louisiana,Ascension Parish,1519,279600.0,0.51
Louisiana,Assumption Parish,552,150300.0,0.37
Louisiana,Avoyelles Parish,249,122400.0,0.22
Louisiana,Beauregard Parish,576,161700.0,0.21
Louisiana,Bienville Parish,301,99500.0,0.24
Louisiana,Bossier Parish,1445,227200.0,0.66
Louisiana,Caddo Parish,1085,175700.0,0.68
Louisiana,Calcasieu Parish,968,217000.0,0.47
Louisiana,Caldwell Parish,415,93300.0,0.29
Louisiana,Cameron Parish,936,202500.0,0.43
Louisiana,Catahoula Parish,325,101800.0,0.25
Louisiana,Claiborne Parish,356,82100.0,0.26
Louisiana,Concordia Parish,384,103800.0,0.31
Louisiana,De Soto Parish,540,154900.0,0.31
Louisiana,East Baton Rouge Parish,1656,248800.0,0.63
Louisiana,East Carroll Parish,277,100500.0,0.32
Louisiana,East Feliciana Parish,339,228100.0,0.2
Louisiana,Evangeline Parish,362,124600.0,0.31
Louisiana,Franklin Parish,351,113000.0,0.25
Louisiana,Grant Parish,862,143300.0,0.33
Louisiana,Iberia Parish,593,164500.0,0.36
Louisiana,Iberville Parish,556,172800.0,0.35
Louisiana,Jackson Parish,352,115600.0,0.24
Louisiana,Jefferson Parish,1312,251400.0,0.57
Louisiana,Jefferson Davis Parish,442,150800.0,0.45
Louisiana,Lafayette Parish,1380,242900.0,0.57
Louisiana,Lafourche Parish,1038,193900.0,0.42
Louisiana,LaSalle Parish,532,119500.0,0.28
Louisiana,Lincoln Parish,971,210100.0,0.46
Louisiana,Livingston Parish,1066,230600.0,0.44
Louisiana,Madison Parish,313,96200.0,0.31
Louisiana,Morehouse Parish,530,118800.0,0.49
Louisiana,Natchitoches Parish,755,171300.0,0.4
Louisiana,Orleans Parish,2606,315700.0,0.85
Louisiana,Ouachita Parish,1054,194400.0,0.52
Louisiana,Plaquemines Parish,1427,282900.0,0.43
Louisiana,Pointe Coupee Parish,565,179300.0,0.32
Louisiana,Rapides Parish,1000,181100.0,0.48
Louisiana,Red River Parish,506,119700.0,0.21
Louisiana,Richland Parish,401,141900.0,0.23
Louisiana,Sabine Parish,484,123100.0,0.25
Louisiana,St. Bernard Parish,961,202500.0,0.34
Louisiana,St. Charles Parish,1562,263700.0,0.54
Louisiana,St. Helena Parish,469,77300.0,0.13
Louisiana,St. James Parish,1113,211800.0,0.47
Louisiana,St. John the Baptist Parish,877,193200.0,0.42
Louisiana,St. Landry Parish,411,142500.0,0.25
Louisiana,St. Martin Parish,725,164200.0,0.35
Louisiana,St. Mary Parish,545,138900.0,0.38
Louisiana,St. Tammany Parish,2028,284000.0,0.71
Louisiana,Tangipahoa Parish,882,212900.0,0.34
Louisiana,Tensas Parish,221,86300.0,0.33
Louisiana,Terrebonne Parish,836,187200.0,0.4
Louisiana,Union Parish,518,112500.0,0.32
Louisiana,Vermilion Parish,589,163300.0,0.33
Louisiana,Vernon Parish,819,156000.0,0.27
Louisiana,Washington Parish,507,155700.0,0.27
Louisiana,Webster Parish,412,114500.0,0.29
Louisiana,West Baton Rouge Parish,1251,229900.0,0.47
Louisiana,West Carroll Parish,200-,94400.0,0.13
Louisiana,West Feliciana Parish,1556,245700.0,0.43
Louisiana,Winn Parish,325,108500.0,0.19
Maine,Androscoggin County,2940,252800.0,1.19
Maine,Aroostook County,1672,149700.0,1.06
Maine,Cumberland County,4707,451200.0,1.01
Maine,Franklin County,2027,194700.0,0.99
Maine,Hancock County,2561,310400.0,0.84
Maine,Kennebec County,2605,238200.0,1.04
Maine,Knox County,3786,324900.0,1.08
Maine,Lincoln County,2828,332700.0,0.85
Maine,Oxford County,2162,217300.0,0.87
Maine,Penobscot County,2481,214100.0,1.11
Maine,Piscataquis County,1537,170200.0,0.78
Maine,Sagadahoc County,3470,333300.0,0.99
Maine,Somerset County,1798,166900.0,0.99
Maine,Waldo County,2684,257700.0,1.0
Maine,Washington County,1683,161800.0,0.93
Maine,York County,3787,395700.0,0.89
Maryland,Allegany County,1636,154900.0,0.94
Maryland,Anne Arundel County,3957,467900.0,0.8
Maryland,Baltimore County,3736,349300.0,0.96
Maryland,Calvert County,3885,460200.0,0.83
Maryland,Caroline County,2619,290100.0,0.75
Maryland,Carroll County,3934,434000.0,0.87
Maryland,Cecil County,3068,343400.0,0.86
Maryland,Charles County,4339,428500.0,0.97
Maryland,Dorchester County,2456,262400.0,0.84
Maryland,Frederick County,4584,464600.0,0.94
